gene_id	tx_CC7-25-2	tx_CC7-25-3	tx_CC7-25-4	prot_CC7-25-2	prot_CC7-25-3	prot_CC7-25-4
AIPGENE7	2.9381	2.7952	2.841	4.3871	3.8488	4.124
AIPGENE8	5.0415	4.8832	5.0694	6.7088	4.7382	6.2535
AIPGENE10	5.237	5.283	5.4147	7.5161	6.2732	6.863
AIPGENE20	10.4315	10.2278	10.3918	6.2784	6.9121	6.7868
AIPGENE30	3.5066	3.4785	4.0471			6.1647
AIPGENE51	4.4547	4.6724	4.4479	7.0028	8.2356	7.5882
AIPGENE57	2.8565	3.605	3.1836	3.6599		4.1083
AIPGENE71	2.8086	3.0458	3.1843	9.0529	8.2059	8.8609
AIPGENE121	8.923	8.9828	9.0134	7.9862	9.4344	7.84
AIPGENE122	5.6718	6.0471	5.9097	9.377	9.7825	9.557
AIPGENE128	4.6969	4.5355	4.4515	6.0664	4.8136	5.4242
AIPGENE129	3.6367	3.9572	3.9416	7.2927	6.2448	6.0773
AIPGENE137	3.9694	4.1893	4.2676	6.0491		
AIPGENE138	3.793	3.6651	3.8337			6.116
AIPGENE146	5.7302	5.6091	5.6469	7.9764	6.9978	7.2216
AIPGENE148	5.9795	6.0565	5.819	7.0124	6.91	7.0592
AIPGENE150	7.4809	7.8622	7.8638	7.2809	6.5047	7.5312
AIPGENE151	4.0037	4.336	4.3685	4.7373	5.7994	
AIPGENE153	4.6345	4.6678	4.7707	7.5609	6.0609	6.3076
AIPGENE157	7.524	7.2458	7.4539	9.5274	8.3003	9.4375
AIPGENE172	4.4736	4.8306	4.7577	8.3185	8.3999	8.7039
AIPGENE175	3.7575	4.0302	4.0826	3.8852	3.9444	4.7298
AIPGENE176	5.7649	6.1943	6.096	6.4657	6.1221	5.3673
AIPGENE181	7.7933	7.7869	7.9922	3.0799	6.5787	7.1318
AIPGENE187	5.4154	5.947	5.5877	10.4252	10.2901	10.294
AIPGENE192	3.935	4.4007	4.3959	5.043		4.0621
AIPGENE199	5.2624	5.2109	5.3889	4.3244		
AIPGENE202	3.1759	3.4016	2.9264			5.5309
AIPGENE203	6.084	6.3328	6.2846	6.5946	7.6409	6.7531
AIPGENE220	2.927	3.0883	2.7799	7.546		
AIPGENE243	5.3107	5.2414	5.2308	7.9403	7.7326	7.8108
AIPGENE246	3.4504	3.6684	3.725	8.0729	7.1494	7.7552
AIPGENE260	3.6351	3.9129	3.8887	4.5925		5.7822
AIPGENE266	5.8267	6.2127	6.1723	9.3502	9.1463	9.2103
AIPGENE268	3.3355	3.1524	2.813	4.6042		
AIPGENE271	4.0257	4.3999	4.3421	6.243		
AIPGENE304	5.5483	5.7783	5.4915	8.0886	8.1247	7.3452
AIPGENE308	3.3532	3.1207	3.0848	6.238	5.0709	5.2338
AIPGENE313	4.8414	5.1038	5.0695	7.2317	7.1291	7.116
AIPGENE318	2.5581	2.432	2.3822	3.9825		
AIPGENE321	6.2276	6.2099	6.1916	4.7969	3.2315	5.9078
AIPGENE331	4.2653	4.8772	4.3642	6.8119	7.0037	7.472
AIPGENE334	7.8097	7.7533	7.798	11.068	11.1172	10.4953
AIPGENE338	3.0443	3.587	3.6716	7.1902	5.9593	7.3366
AIPGENE339	4.9212	5.1482	5.1642	6.7617	6.0454	5.7186
AIPGENE340	4.3647	4.4852	4.3848	4.739		
AIPGENE345	10.2392	10.5583	10.4604	10.1459	10.6609	10.7151
AIPGENE350	3.9614	3.997	4.3537	4.596		5.0123
AIPGENE354	10.8167	10.6871	10.7273	10.4021	9.802	10.1778
AIPGENE355	4.5195	5.0555	4.7283	6.119	7.7072	5.8706
AIPGENE365	4.0946	4.8322	4.4468	7.8719	7.1683	7.0098
AIPGENE369	3.314	3.6373	3.3843	5.4652		5.9028
AIPGENE373	4.5053	4.6904	4.5622	6.6476	7.7047	7.566
AIPGENE375	3.1512	3.4067	3.3184	4.0326	4.1141	
AIPGENE391	5.5009	5.9884	5.3762	8.9981	9.9038	9.3559
AIPGENE393	3.9093	4.5054	4.2513	6.1368	5.1111	5.8393
AIPGENE395	5.749	5.8569	5.7234	5.5899	7.079	7.5055
AIPGENE408	4.2942	4.6341	4.4596	7.3337	7.2916	7.861
AIPGENE416	3.2811	4.0076	3.6761	7.6173	7.5989	6.7566
AIPGENE425	7.22	7.4317	7.2793	10.1817	9.5097	9.3707
AIPGENE435	6.3853	6.5373	6.498	7.3985	8.76	7.6527
AIPGENE441	5.2635	5.3437	5.2482	6.3697	5.8441	6.1391
AIPGENE445	6.2402	6.7327	6.3377	6.3548	7.0806	7.1634
AIPGENE446	5.3797	5.4849	5.4408	3.0497	6.3585	6.1446
AIPGENE459	5.0632	4.644	4.8431		5.7423	
AIPGENE463	4.483	4.4397	4.5872	5.1444		6.2593
AIPGENE465	4.2574	4.839	4.3966	5.2216	5.7876	4.755
AIPGENE473	7.7463	8.1782	7.9142	7.0512	4.8039	5.3048
AIPGENE479	6.3524	6.5033	6.5437	8.5835	9.2182	9.0434
AIPGENE501	5.9881	6.5678	6.4697	5.9664	3.6306	4.9371
AIPGENE505	5.624	5.5571	5.8376	3.1511	5.3712	4.2254
AIPGENE510	8.4752	8.452	8.3283	6.2352		5.1134
AIPGENE525	3.9545	4.2764	4.093	7.6234	3.6284	6.7253
AIPGENE529	3.6476	3.7861	3.6784	6.7527	6.22	6.9429
AIPGENE530	3.6313	3.5795	3.8155		5.7117	5.5142
AIPGENE531	4.5481	4.9684	4.7638			4.1068
AIPGENE546	4.6289	5.0924	5.1332			4.5209
AIPGENE548	6.471	6.7547	6.4837	8.487	9.4115	8.6047
AIPGENE591	4.5063	4.6686	4.26	7.1126	6.8789	5.0667
AIPGENE595	4.9183	6.5763	4.5034	7.5753	7.6712	8.3021
AIPGENE596	5.6453	5.4405	5.9444	9.088	8.2942	8.9878
AIPGENE600	13.2462	12.9696	13.0138	8.4529	8.6581	8.5129
AIPGENE601	5.952	6.2892	6.3992	6.4497	5.6585	5.5677
AIPGENE603	5.9416	5.9049	5.8185	8.2087	8.9858	8.0505
AIPGENE604	4.9145	6.1776	5.0231		6.073	3.4516
AIPGENE607	3.2382	4.0799	3.2739	6.6076	6.212	4.4844
AIPGENE608	4.4741	4.6695	4.5989	6.131	3.6872	5.1488
AIPGENE623	5.334	5.6354	5.3103	8.5757	8.979	9.3217
AIPGENE629	0.0	0.1561	0.0551	6.2056	6.4481	4.8313
AIPGENE633	5.1369	5.483	5.3263	4.5343		5.0875
AIPGENE637	5.0371	5.4189	5.0025	9.3858	8.6763	8.7478
AIPGENE638	7.4529	7.4551	7.5364	7.8207	7.0461	7.2141
AIPGENE639	3.9325	4.3012	4.1206		4.0687	4.3262
AIPGENE646	5.3706	5.2511	5.1533	5.1816	6.3244	5.072
AIPGENE648	3.998	4.2828	4.5264	6.2773		4.5249
AIPGENE651	6.1452	6.4958	5.8223	9.8077	9.8218	9.2441
AIPGENE655	4.9482	5.5564	5.0869	6.9217	6.4681	6.8102
AIPGENE660	4.7027	4.601	4.5076	7.0788	8.3338	7.9061
AIPGENE671	5.4301	5.0696	4.9319	6.0531	7.8508	6.6316
AIPGENE683	4.6194	4.8085	4.4087	7.6677	7.312	6.9838
AIPGENE685	4.3908	4.6847	4.4412	6.2588	6.3093	
AIPGENE695	3.6219	3.5539	3.6714	5.8879		6.1439
AIPGENE698	4.0242	4.1728	4.1224	5.8638	5.5407	5.7158
AIPGENE700	8.0637	7.8288	8.0957	9.1413	9.846	9.7099
AIPGENE701	5.249	5.7967	5.5186	8.3087	8.1819	8.7061
AIPGENE707	4.276	4.1695	4.1598	3.9236	5.122	
AIPGENE713	2.417	2.6256	2.0582	2.7264		
AIPGENE721	6.0287	6.2582	6.1082	7.0974		6.482
AIPGENE762	5.1423	5.6099	5.6579	6.7097		5.9336
AIPGENE774	3.5804	3.9762	3.7928	6.9798	6.2945	6.8652
AIPGENE789	4.8169	4.2205	4.5923	4.2894	4.6756	6.7437
AIPGENE791	6.8684	6.6998	6.4559	6.3775	7.7798	5.8528
AIPGENE804	8.5619	8.6212	8.6094	10.0077	10.9821	10.9584
AIPGENE820	13.6072	13.3144	13.3715	9.0437	8.9352	8.9648
AIPGENE823	5.1704	4.8885	5.456	4.4467	4.8608	
AIPGENE834	2.9777	3.4981	3.2899	3.7131		4.3983
AIPGENE840	5.0265	5.5458	5.4315	7.7895	6.0456	7.7583
AIPGENE843	9.641	9.546	9.8007	10.5645	11.6557	11.6098
AIPGENE852	1.1309	1.1079	1.0958	10.1282	8.5382	7.5229
AIPGENE856	3.3274	4.0769	4.0497		5.2707	
AIPGENE865	12.2531	12.2213	12.1345	11.132	11.6925	11.729
AIPGENE868	3.8226	3.7284	3.6874	4.59		
AIPGENE869	7.4909	7.4071	7.5701	7.3876	8.2855	7.6846
AIPGENE874	5.2267	5.4388	5.7276	4.9093	6.1336	4.9606
AIPGENE883	6.6059	6.6175	6.58	5.336	4.7294	6.0118
AIPGENE900	4.878	5.2514	4.975			5.3844
AIPGENE937	4.1032	4.1055	4.1247			4.3469
AIPGENE968	3.4118	3.2716	3.4021			4.4849
AIPGENE986	3.7204	3.9738	3.9894			5.0211
AIPGENE987	5.7167	5.9722	5.7717	5.3249	5.9833	4.3167
AIPGENE989	8.7794	8.7379	8.6014	7.2958	6.4385	7.1631
AIPGENE1009	8.2146	8.9153	7.6288	8.131	8.695	8.5668
AIPGENE1033	6.584	6.5806	6.5627	7.2721	7.3067	6.7475
AIPGENE1040	5.6051	6.1949	6.2122	8.0577	6.0829	7.6054
AIPGENE1052	4.0212	4.3364	4.2497	6.079	5.4904	5.6972
AIPGENE1080	11.3233	11.0886	11.1397	8.92	8.8225	8.8823
AIPGENE1092	6.0527	5.289	6.0466	9.5439	7.3873	8.3909
AIPGENE1117	3.6445	3.8486	3.8306	5.1605		4.6644
