gene_id	tx_CC7-32-1	tx_CC7-32-2	tx_CC7-32-3	tx_CC7-32-4	prot_CC7-32-1	prot_CC7-32-2	prot_CC7-32-3	prot_CC7-32-4
AIPGENE7	3.0966	2.9886	3.2001	2.9573	4.0803	4.3277		4.3795
AIPGENE8	4.7454	4.3683	5.1516	4.9595	4.7019	6.7785	6.9332	6.1429
AIPGENE10	5.3369	5.2225	5.2991	5.4011	6.226	7.5125	6.6337	7.0854
AIPGENE20	10.3192	10.3531	10.2356	10.3936	6.7863	6.0909	5.9151	6.7558
AIPGENE30	4.3098	4.3327	3.9425	4.0944				6.21
AIPGENE51	4.7969	4.8317	5.2952	5.5038	8.3246	6.9643	7.5273	7.6927
AIPGENE57	3.2997	3.5379	3.6557	3.2912		3.4681		3.2287
AIPGENE71	2.8512	2.4211	2.8304	2.9884	8.2231	9.1531	9.3497	8.8123
AIPGENE121	9.0178	9.3327	9.1009	9.4286	9.364	7.8151	8.9067	8.1521
AIPGENE122	5.7379	5.0502	6.2059	5.8837	9.7108	9.5499	9.5449	9.641
AIPGENE128	5.2053	5.1205	5.803	5.874	4.9327	5.8388	5.6458	5.624
AIPGENE129	3.9681	3.6297	4.0772	4.025	6.2397	7.3138	6.2367	5.9366
AIPGENE137	4.3397	4.186	4.4087	4.4281		5.9348		
AIPGENE138	4.0767	3.3118	4.019	4.0835				5.8893
AIPGENE146	5.871	6.0838	6.0223	5.9453	6.9257	7.9676	7.6823	7.2759
AIPGENE148	5.5733	5.5094	5.8003	5.9835	6.9153	6.9926	6.4923	6.8948
AIPGENE150	7.38	7.2988	7.8088	7.6042	6.6316	7.2844	6.7277	7.3463
AIPGENE151	4.0345	3.9682	4.5289	4.3591	5.7149	4.8413	6.1834	
AIPGENE153	5.037	5.1011	4.9172	4.916	5.9284	7.6639	6.8078	6.4384
AIPGENE157	6.027	6.6137	6.2755	6.1003	8.3349	9.5433	8.7902	9.542
AIPGENE172	4.4972	4.4976	4.6123	4.725	8.4594	8.3137	7.2122	8.6778
AIPGENE175	3.8723	4.0396	3.98	3.8982	4.4882	3.9753		4.1586
AIPGENE176	5.7796	6.197	5.9907	5.8639	6.2312	6.4854	4.6905	5.2958
AIPGENE181	7.213	6.6916	8.51	7.7449	6.4882	3.1716	5.5651	7.1731
AIPGENE187	6.0165	6.2121	6.374	6.3725	10.309	10.414	10.0373	10.2472
AIPGENE192	4.2084	3.9189	4.6322	4.2163		4.6429		4.0108
AIPGENE199	5.0056	4.6044	5.6015	5.468		4.3877		
AIPGENE202	3.5397	3.5968	3.5534	3.6598				5.4395
AIPGENE203	6.3984	6.2638	6.2289	6.4664	7.5265	6.7199	5.4643	6.6037
AIPGENE220	3.0784	3.8716	2.8078	2.7362		6.1417		
AIPGENE243	5.5332	5.5268	5.7138	5.7886	7.7639	7.8369	8.5668	7.7831
AIPGENE246	3.8991	3.746	3.858	3.8403	7.1902	7.998	7.4074	7.6149
AIPGENE260	3.6862	3.439	3.7686	3.6101		4.7515	4.035	5.8609
AIPGENE266	6.0001	5.7334	6.4268	6.0885	9.1824	9.3642	9.6492	9.1199
AIPGENE268	3.3092	3.4572	3.1797	3.7002		4.734		
AIPGENE271	4.4741	4.8476	4.6384	4.4195		6.1926	4.3603	
AIPGENE304	5.6113	5.7549	5.9554	6.0716	8.0981	8.2776	8.4028	7.545
AIPGENE308	4.0438	4.0631	4.4604	4.204	4.9012	6.1385	5.3593	5.0056
AIPGENE313	5.0234	5.2922	5.2596	5.3253	7.1661	7.3474	7.0911	7.0494
AIPGENE318	2.7358	2.477	2.5691	2.8357		4.1519	3.2324	
AIPGENE321	6.1651	5.6179	6.084	4.9138	3.5065	4.6618	3.7488	5.7819
AIPGENE331	4.4957	3.7913	4.277	3.5309	7.1315	6.8701	7.339	7.4844
AIPGENE334	8.0731	8.3661	8.4622	8.5082	11.1354	10.9039	10.8423	10.4828
AIPGENE338	3.4309	3.4515	3.6274	3.5964	6.0859	7.2798	7.3237	7.2709
AIPGENE339	4.9344	4.2526	4.95	4.2173	6.0876	6.8623	6.5895	5.5726
AIPGENE340	4.4126	4.6241	4.5921	4.7545		4.5063		
AIPGENE345	10.324	10.1482	10.1076	10.0282	10.638	10.1906	10.8561	10.7329
AIPGENE350	4.1754	3.9327	4.2613	3.5643		4.4402		5.1912
AIPGENE354	10.614	10.4953	10.4447	10.275	9.8257	10.4301	10.7827	10.1576
