gene_id	tx_H2-25-1	tx_H2-25-3	tx_H2-25-4	prot_H2-25-1	prot_H2-25-3	prot_H2-25-4
AIPGENE7	2.5123	2.6489	2.5866	3.8379	4.3137	3.8697
AIPGENE8	4.9001	4.9239	4.7567	4.8419	6.0011	5.0327
AIPGENE10	5.25	5.008	4.8635	6.0296	8.1019	5.7535
AIPGENE20	10.5754	10.5104	10.5993	6.7753	6.2811	7.0145
AIPGENE51	4.4958	4.506	4.4532	8.2657	6.8744	8.2608
AIPGENE57	3.4451	3.5536	3.2085		3.636	
AIPGENE71	3.1554	2.9643	3.1433	8.3015	8.7525	8.4547
AIPGENE121	7.7698	7.5549	7.793	8.7988	9.6895	7.969
AIPGENE122	6.3715	6.3887	6.2156	9.8689	9.1644	9.7588
AIPGENE128	3.3236	4.1052	3.8363	4.9163	5.9237	4.7007
AIPGENE129	3.8831	3.8848	3.5757	6.0031	7.578	6.1014
AIPGENE137	4.4578	4.4762	4.3452		6.0752	
AIPGENE146	6.4567	6.4115	6.1761	6.8874	7.835	7.0762
AIPGENE148	5.4115	5.4623	5.8081	6.8554	6.9755	6.853
AIPGENE150	8.196	7.9749	7.9327	6.6899	7.0189	6.5633
AIPGENE151	4.3018	3.9032	3.9956	5.7437	5.2316	5.844
AIPGENE153	5.1133	5.0489	4.8239	6.013	7.6581	5.969
AIPGENE157	7.7825	7.826	7.7995	8.2529	9.5764	8.4706
AIPGENE172	4.7953	5.0228	4.741	8.5277	8.4091	8.4096
AIPGENE175	4.2485	4.5217	4.1407	4.1197	3.907	3.6655
AIPGENE176	6.1326	6.2043	6.2072	6.2146	6.4949	6.2877
AIPGENE181	8.1374	7.7418	7.9669	6.7079	2.7373	6.5464
AIPGENE187	5.8923	5.9975	5.6968	10.329	10.3211	10.4116
AIPGENE192	4.6685	4.629	4.4335		5.2459	
AIPGENE199	5.392	5.1273	5.2758		3.8071	
AIPGENE203	7.0875	7.1592	7.0072	7.6082	6.4411	7.6604
AIPGENE220	2.9864	3.1956	2.8889		6.1416	
AIPGENE243	5.198	5.007	4.995	7.6225	7.8654	7.6949
AIPGENE246	3.8324	3.6375	3.7754	7.3709	7.9938	7.1355
AIPGENE260	4.236	4.334	4.0377		4.4558	
AIPGENE266	6.4393	6.5043	6.0228	9.1502	9.317	9.1462
AIPGENE268	2.8683	3.2146	3.1214		4.7745	
AIPGENE271	4.2511	4.3684	4.216		6.3116	
AIPGENE304	5.4843	5.6998	5.643	8.0162	8.2474	8.0813
AIPGENE308	3.5382	3.3963	2.9388	5.0036	6.0377	4.9605
AIPGENE313	5.4596	5.4182	5.3411	7.1991	7.2032	7.118
AIPGENE318	2.8429	2.808	2.3448		3.9588	
AIPGENE321	6.4773	6.5823	5.804	3.8771	4.8906	3.4842
AIPGENE331	4.8863	5.1898	4.2758	7.0963	6.8263	7.0671
AIPGENE334	8.2167	8.163	7.6505	11.3105	10.8247	11.1596
AIPGENE338	3.5176	3.6585	3.3221	5.9092	7.123	5.8293
AIPGENE339	5.4935	5.6816	4.9567	6.1359	6.8448	6.049
AIPGENE340	4.2143	3.9605	4.0638		4.1502	
AIPGENE345	10.7889	10.7035	10.4132	10.6531	9.9262	10.739
AIPGENE350	4.6384	4.2164	4.0905		4.4153	
AIPGENE354	11.038	10.9891	10.7547	9.8536	10.2375	9.9545
AIPGENE355	5.2352	5.3753	4.6438	8.1049	6.1745	7.9194
AIPGENE365	4.8664	4.9998	4.4462	7.3183	7.9009	7.3814
AIPGENE369	4.1684	3.6178	3.5685		6.0331	
AIPGENE373	4.3312	4.4117	4.6579	7.6851	6.7059	7.5216
AIPGENE375	3.6787	3.6758	3.4325	4.4274	3.9692	4.1039
AIPGENE391	5.3303	5.3216	5.0317	9.8967	8.9358	9.889
AIPGENE393	4.4376	4.3518	4.4005	5.0447	6.2027	4.9852
AIPGENE395	5.7945	5.8552	5.7403	7.3565	5.5875	7.3269
AIPGENE408	4.5171	4.5087	4.5227	7.3119	7.2693	7.36
AIPGENE416	3.7914	3.6689	3.5295	7.4378	7.4859	7.9055
AIPGENE425	7.722	7.7182	7.0002	9.5101	9.8195	9.2151
AIPGENE435	6.6145	6.6124	6.3838	8.9148	7.5091	8.7512
AIPGENE441	4.954	5.2595	5.4283	5.9149	6.257	5.9719
AIPGENE445	6.2485	6.4703	6.3727	6.829	6.6901	6.8143
AIPGENE446	5.3389	5.3667	5.2885	6.9557	3.2533	6.3741
AIPGENE459	5.2466	5.0199	5.0005	5.7149		5.701
AIPGENE463	4.6252	4.5564	4.5687		5.2556	
AIPGENE465	4.4017	4.1002	4.2499	6.2806	5.2126	5.8
AIPGENE473	8.2236	8.1947	8.3868	4.8524	7.0709	4.7392
AIPGENE479	6.72	6.7155	6.556	9.1979	8.5031	9.2779
AIPGENE501	6.7799	6.8513	6.426	3.8708	5.8528	3.6505
AIPGENE505	5.4206	5.3909	5.3927	4.9529	3.8602	4.8062
AIPGENE510	9.2015	9.0314	9.0678		5.7426	
AIPGENE525	4.3152	4.3529	4.026	4.1223	7.6887	3.5583
AIPGENE529	4.8128	4.9143	4.8201	6.4657	5.9671	6.7055
AIPGENE530	3.0538	2.9108	3.1846	5.5691		5.558
AIPGENE548	6.3283	6.3935	6.6295	9.2388	8.8378	9.2285
AIPGENE591	4.3275	4.3541	4.2253	6.8499	7.1209	6.901
AIPGENE595	4.645	4.5856	4.6266	7.6281	7.7646	7.4462
AIPGENE596	7.0602	7.0237	7.1812	8.6089	8.6666	8.7961
AIPGENE600	13.0051	13.0309	13.221	8.6746	8.2799	8.7283
AIPGENE601	6.1553	6.0721	6.1749	5.5715	6.1944	5.4825
AIPGENE603	6.1369	6.2922	6.0272	9.0701	8.2105	9.0992
AIPGENE604	5.1491	5.0864	5.9982	5.8561		6.055
AIPGENE607	5.007	5.4658	5.137	6.3399	5.9981	6.6155
AIPGENE608	4.8203	4.8141	4.5005	3.9713	6.0607	4.0031
AIPGENE623	5.6964	5.5708	5.3423	9.0564	8.5086	8.9926
