gene_id	tx_H2-32-1	tx_H2-32-2	tx_H2-32-3	tx_H2-32-4	prot_H2-32-1	prot_H2-32-2	prot_H2-32-3	prot_H2-32-4
AIPGENE7	2.4905	2.5555	2.0836	2.4769	3.8513	3.9382	3.72	4.5216
AIPGENE8	4.9041	4.717	4.8828	4.8785	5.0409	4.8969	4.8499	6.2856
AIPGENE10	5.221	5.6189	5.285	4.9727	5.739	5.8167	5.9401	7.8828
AIPGENE20	10.3903	10.434	10.2629	10.6501	7.2375	6.9908	7.0357	6.378
AIPGENE51	4.6282	5.0903	4.6365	4.6788	8.2277	8.2625	8.3189	6.9009
AIPGENE57	3.8232	3.7957	4.0291	2.6605				3.6702
AIPGENE71	2.968	2.602	2.8797	2.572	8.323	8.2912	8.2539	8.9671
AIPGENE121	8.0129	7.5469	7.606	7.868	8.2867	8.1144	8.0405	9.1828
AIPGENE122	6.1796	5.8571	6.1044	5.7547	9.7888	9.5877	9.7965	9.3122
AIPGENE128	4.7994	4.6181	4.6225	4.8785	4.8802	4.822	4.9517	5.8176
AIPGENE129	3.8795	3.9604	4.1434	3.533	6.2065	6.0231	5.6074	7.5354
AIPGENE137	4.6201	4.7315	4.7791	4.1952				6.1228
AIPGENE146	6.319	6.6005	6.2118	6.4948	7.0305	7.1153	7.0467	7.8414
AIPGENE148	5.4707	5.4602	5.3936	5.4943	6.8653	6.8807	6.6083	7.0503
AIPGENE150	8.1532	7.9391	8.4116	7.498	6.6601	6.5547	6.1306	7.1642
AIPGENE151	4.0014	4.3386	4.1339	4.0291	5.9674	5.8178	6.1529	5.297
AIPGENE153	5.4147	5.4936	5.3415	5.2129	5.8017	5.9878	5.8141	7.5625
AIPGENE157	6.1865	6.4208	6.1239	6.2816	8.3423	8.3241	8.3083	9.4262
AIPGENE172	4.8001	5.105	5.1484	4.3209	8.3949	8.401	8.3304	8.4059
AIPGENE175	4.533	4.468	4.747	3.8746	3.4932	3.1242	3.5016	4.002
AIPGENE176	6.1256	6.2487	6.3574	5.4185	6.1003	6.1916	6.0641	6.3807
AIPGENE181	7.7316	7.1128	7.592	7.8672	6.4812	6.1668	6.73	3.134
AIPGENE187	6.0823	6.1631	6.2318	5.5693	10.4097	10.501	10.3532	10.3805
AIPGENE192	4.8111	4.5553	4.9343	4.1303				5.1603
AIPGENE199	5.1796	5.0901	5.4279	5.0045				4.1443
AIPGENE203	6.8232	7.1977	6.9282	7.0302	7.5951	7.5663	7.4994	6.5979
AIPGENE220	3.026	2.84	3.1948	3.2589				6.1142
AIPGENE243	5.2017	5.2986	5.1527	5.2528	7.659	7.6988	7.737	7.9064
AIPGENE246	3.6239	3.812	3.9855	3.3628	7.1492	7.1453	7.4582	8.0743
AIPGENE260	4.2438	4.2498	4.4704	3.3098				4.4722
AIPGENE266	6.2639	6.3859	6.6692	5.5863	9.1603	9.1264	9.1037	9.3522
AIPGENE268	3.7264	3.6456	3.194	3.3471				4.7571
AIPGENE271	4.1875	4.381	4.5319	4.3947				6.3045
AIPGENE304	5.5846	5.8791	5.7387	5.6658	8.0339	8.1041	8.1713	8.1789
AIPGENE308	3.725	3.6441	3.998	3.9849	5.2674	5.117	5.2738	5.8996
AIPGENE313	4.9918	5.3324	5.255	4.9513	7.1513	7.1996	7.1408	7.3931
AIPGENE318	3.088	2.8095	2.7621	2.5036				4.0454
AIPGENE321	6.4028	6.4864	7.1349	6.748	3.1609	3.2391	3.7657	4.5917
AIPGENE331	4.8417	5.0942	5.7482	4.3402	6.9103	6.879	6.6924	6.7702
AIPGENE334	8.1294	8.0227	8.4891	8.6148	11.381	11.2963	11.5954	10.6435
AIPGENE338	3.7815	3.97	4.1894	3.1967	5.9633	5.8315	5.7713	7.3266
AIPGENE339	5.3317	5.4743	6.2861	5.0334	6.0015	5.8649	5.9831	6.6799
AIPGENE340	4.0215	4.0059	4.2967	3.7494				4.3861
AIPGENE345	10.6011	10.5707	10.683	9.8754	10.7001	10.789	10.6692	10.1121
AIPGENE350	3.9765	4.3166	4.3097	3.6766				4.4367
AIPGENE354	10.7907	10.753	10.7566	10.8421	9.9506	10.0834	9.8823	10.3531
AIPGENE355	5.1463	5.1848	5.9566	4.5562	7.9066	7.7923	7.7661	6.0399
AIPGENE365	4.7755	4.8144	5.5517	4.2785	7.1971	7.1651	7.1661	7.7692
AIPGENE369	3.5777	3.6774	3.6819	3.2226				5.6345
AIPGENE373	4.5717	4.7172	4.8009	4.1894	7.4691	7.6234	7.5833	6.6166
AIPGENE375	3.9835	4.038	4.1003	3.4871	4.3749	4.1673	4.2948	4.2063
AIPGENE391	5.5734	5.6351	5.7253	5.62	9.9706	9.9805	10.0108	8.9146
AIPGENE393	4.4993	4.7659	4.7942	3.9069	5.0949	5.1648	5.1574	6.197
AIPGENE395	5.9316	6.0357	6.1714	5.8842	7.3355	7.4208	7.3203	5.6109
AIPGENE408	4.4708	4.7464	4.7756	4.1965	7.3432	7.3838	7.3742	7.3569
AIPGENE416	3.913	4.0618	4.1497	3.2141	7.7959	7.8207	7.6707	7.7193
AIPGENE425	7.5954	7.7704	7.7765	7.4029	9.3102	9.6539	9.4058	9.8539
AIPGENE435	6.5377	6.7696	6.6187	6.6368	8.7019	8.726	8.6835	7.393
AIPGENE441	5.2307	5.2228	5.3434	5.3902	5.9056	5.8832	5.9603	6.2905
AIPGENE445	6.4845	6.6286	6.6279	6.5323	6.886	6.8568	6.9308	6.5419
AIPGENE446	5.4713	5.7157	5.7325	5.5622	6.5406	6.4303	6.33	3.3803
AIPGENE459	4.9694	4.9362	4.9356	5.0944	5.8295	5.9089	5.6869	
AIPGENE463	4.7594	4.8866	4.8105	4.8505				5.1144
AIPGENE465	4.22	4.2519	4.3156	3.8472	5.947	5.9183	5.7567	5.3605
AIPGENE473	7.937	8.2595	8.1391	8.0055	4.847	4.935	4.8231	7.1064
AIPGENE479	6.637	6.7497	6.6263	6.4932	9.2426	9.1853	9.3068	8.4743
AIPGENE501	6.7368	6.7558	7.0316	5.5367	3.6973	3.647	3.7757	5.8974
AIPGENE505	5.3267	5.3884	5.4421	5.1008	4.8812	4.6052	4.5138	3.678
AIPGENE510	8.9001	8.9104	9.1347	8.9902				5.9738
AIPGENE525	4.5422	4.4914	4.5862	3.7738	3.7323	3.7457	3.3807	7.7118
AIPGENE529	4.6987	4.7721	5.0155	4.6831	6.7245	6.7262	6.797	6.3691
AIPGENE530	3.1759	2.8005	3.0896	3.0666	5.6219	5.3533	5.4557	
AIPGENE548	6.4961	6.6519	6.6818	6.374	9.1925	9.2176	9.2627	8.733
AIPGENE591	4.4804	4.4212	4.4406	4.2773	6.8985	6.9311	7.039	7.0749
AIPGENE595	4.8729	4.9895	5.1614	4.6498	7.2989	7.503	7.5033	7.9918
AIPGENE596	6.1339	6.4626	6.5002	5.9564	8.5713	8.2043	8.6815	8.8358
AIPGENE600	13.0624	13.0533	13.0719	13.3529	8.6122	8.7809	8.7439	8.4003
AIPGENE601	6.0705	6.0637	6.2089	5.8415	5.3928	5.3931	5.4568	6.4186
AIPGENE603	5.8925	6.1943	5.9972	5.9311	9.0865	9.1791	9.1196	8.266
AIPGENE604	5.9259	6.7115	6.2016	5.9373	5.955	6.0123	5.9529	
AIPGENE607	4.7982	5.5305	5.2645	5.2312	6.7681	6.6003	6.8361	6.1459
AIPGENE608	4.7138	4.724	4.9211	4.144	3.6476	3.9775	3.7272	6.0187
AIPGENE623	5.3638	5.4702	5.3557	5.1704	8.9113	8.9895	9.0469	8.5164
AIPGENE629	0.194	0.1694	0.1029	0.1661	6.7033	6.5098	6.577	6.2045
AIPGENE633	5.5849	5.5556	5.7612	5.2677				4.4678
AIPGENE637	4.9598	5.1095	5.2155	4.5788	8.6403	8.7731	8.6931	9.3805
AIPGENE638	7.596	7.7578	7.5854	7.9036	6.8983	6.8813	6.998	7.8358
AIPGENE639	4.4044	4.3841	4.641	4.2211	4.5739	4.376	3.9829	
AIPGENE646	5.4313	5.4346	5.5442	5.6249	6.4111	6.25	6.4236	5.3622
AIPGENE648	4.1956	4.0123	4.0154	3.5021				6.1852
AIPGENE651	6.5643	6.588	6.6439	6.8212	9.9167	10.0	9.9493	9.6772
AIPGENE655	5.3677	5.4343	5.7633	4.4932	6.5705	6.5156	6.6713	6.9044
AIPGENE660	4.7683	4.9304	4.6049	5.0084	8.3284	8.3449	8.3832	6.9381
