gene_id	tx_RS-25-1	tx_RS-25-2	tx_RS-25-3	tx_RS-25-4	prot_RS-25-1	prot_RS-25-2	prot_RS-25-3	prot_RS-25-4
AIPGENE7	2.1542	2.3005	2.0654	2.4891		4.2617	4.0837	4.1114
AIPGENE8	5.8219	5.4839	5.7965	5.9815	7.2006	6.5982	6.0061	5.9471
AIPGENE10	5.3415	5.4325	5.2643	5.5959	5.339	7.7637	6.5437	6.6187
AIPGENE20	10.4473	10.4416	10.5234	10.685	5.9084	5.9583	7.0333	7.1726
AIPGENE30	1.2543	0.9762	1.188	0.5274			5.0238	5.0699
AIPGENE51	4.3017	4.7184	4.4005	4.5643	7.602	6.9739	7.6019	7.7321
AIPGENE57	2.9097	3.0706	3.4334	3.2699		3.5922		
AIPGENE71	3.7718	3.5149	3.1581	3.6004	9.0198	9.0895	9.3374	9.3632
AIPGENE121	2.9277	3.1552	3.6642	2.9183	6.007	9.2173	7.4622	7.3362
AIPGENE122	6.1958	6.1555	6.1617	5.9116	9.6058	9.5196	9.6364	9.4131
AIPGENE128	4.2775	4.4956	4.2312	4.42	5.3415	5.9229	5.4875	5.6465
AIPGENE129	3.8151	3.8196	3.8145	3.7887	6.5698	7.3085	6.1515	6.1284
AIPGENE137	4.1065	4.2199	4.2785	4.1216		6.0716		
AIPGENE138	4.0402	4.3297	3.8748	4.2482			5.8808	5.7776
AIPGENE146	6.1534	6.3006	6.2448	6.365	7.6063	7.8755	7.463	7.4853
AIPGENE148	5.5399	5.6437	5.5491	5.6492	6.7475	7.0675	6.8102	6.8601
AIPGENE150	8.6086	8.483	8.8869	8.701	7.1565	7.0855	7.5945	7.5493
AIPGENE151	4.3262	4.0964	4.0554	4.259	6.2524	4.9367		
AIPGENE153	4.7449	4.8705	4.5281	4.7755	6.6721	7.7732	6.6328	6.6801
AIPGENE157	7.7319	7.8665	7.68	7.78	8.8975	9.5851	9.693	9.5512
AIPGENE172	4.6187	4.6361	4.823	4.6775	7.2136	8.411	8.6627	8.8557
AIPGENE175	4.1144	4.0474	4.2226	4.0651		3.9641		
AIPGENE176	6.1899	6.0667	6.3493	6.1796	4.7463	6.4862	5.6453	5.4197
AIPGENE181	8.3544	8.3121	8.5122	8.6828	5.1276	3.0069	7.4433	7.4149
AIPGENE187	5.6874	5.8346	5.8925	5.8893	10.1208	10.363	10.0992	10.1792
