gene_id	tx_RS-32-1	tx_RS-32-3	tx_RS-32-4	prot_RS-32-1	prot_RS-32-3	prot_RS-32-4
AIPGENE8	5.6479	5.7464	5.7986	6.9479	7.0469	7.0649
AIPGENE10	5.5677	5.775	5.6659	5.4257	4.8199	5.2912
AIPGENE20	10.4356	10.4204	10.3765	6.1965	6.1009	5.9144
AIPGENE51	4.9204	4.8638	4.8673	7.7913	7.5819	7.55
AIPGENE71	3.4359	3.5689	3.5165	8.9257	9.1105	8.9248
AIPGENE121	4.4375	3.0228	4.0531	6.1374	5.6548	6.036
AIPGENE122	5.6153	5.9281	5.9491	9.4884	9.5316	9.4209
AIPGENE128	5.1626	5.6376	5.3977	5.5336	5.7547	5.5701
AIPGENE129	4.1782	4.1791	4.2918	6.5901	6.3109	6.4611
AIPGENE146	6.1006	6.2847	6.342	7.6063	7.6194	7.5604
AIPGENE148	5.3844	5.6189	5.6088	6.7145	6.5792	6.5525
AIPGENE150	8.4455	8.4676	8.5759	6.8782	6.9551	6.9154
AIPGENE151	4.4379	4.2912	4.0943	5.9725	5.9203	5.9086
AIPGENE153	4.8884	5.0578	4.8743	6.6419	6.867	6.5747
AIPGENE157	6.1883	6.2917	6.5973	8.9231	8.8137	8.9175
AIPGENE172	5.04	4.8922	4.9496	7.3513	7.1184	7.1026
AIPGENE176	6.2554	6.1811	6.1933	4.8274	4.6432	4.6755
AIPGENE181	7.7298	7.7982	8.0	4.9672	5.2512	5.1768
AIPGENE187	6.4032	6.3442	6.4173	10.122	10.1185	10.1372
AIPGENE203	7.16	7.1083	6.8465	5.2384	5.9224	5.5918
AIPGENE243	5.8927	5.9152	5.8205	8.3372	8.324	8.2818
AIPGENE246	4.0678	4.2105	4.0929	7.4852	7.4055	7.4039
AIPGENE260	3.7846	3.6188	3.613	4.5031	4.7111	4.8159
AIPGENE266	6.588	6.4801	6.6744	9.8269	9.7259	9.7972
AIPGENE271	4.3701	4.3359	4.4228	4.3014	4.589	4.329
AIPGENE304	5.8638	5.8772	5.8434	8.3849	8.127	8.3516
AIPGENE308	4.5585	4.3918	4.5133	5.8735	5.7596	5.7729
AIPGENE313	5.239	5.339	5.3427	7.0767	7.3121	7.1768
AIPGENE318	2.8637	2.7637	2.9443	2.1598	3.3299	3.4337
AIPGENE321	5.5492	5.6818	5.6442	4.1455	4.1019	4.0926
AIPGENE331	4.0422	3.5422	4.1718	7.4727	7.4607	7.4522
AIPGENE334	8.8152	8.8841	8.7308	11.257	11.2224	11.271
AIPGENE338	3.6834	3.817	3.7352	7.5662	7.4272	7.563
AIPGENE339	4.691	4.4405	4.8695	6.9975	6.9867	6.8844
AIPGENE345	10.6885	10.5471	10.5737	10.8105	10.9395	10.8215
AIPGENE354	10.8896	10.7978	10.8147	10.6848	10.7899	10.7266
AIPGENE355	4.0873	4.1138	4.379	6.9228	6.817	6.9404
AIPGENE365	3.7459	3.5269	3.8611	7.5093	7.3465	7.3663
AIPGENE373	4.6025	4.6666	4.582	6.8333	7.0318	6.7767
AIPGENE391	5.8756	5.959	6.0026	9.6558	9.593	9.5977
AIPGENE393	4.664	4.6276	4.7839	7.7238	7.6729	7.691
AIPGENE395	6.0176	5.9793	6.0304	8.3829	8.5	8.3902
AIPGENE408	4.7342	4.6276	4.8212	8.2566	8.0232	8.2078
AIPGENE416	3.9059	3.8915	3.9453	7.4956	7.4429	7.5598
AIPGENE425	7.4953	7.5955	7.3711	10.0062	10.1518	9.9623
AIPGENE435	6.7628	6.7087	6.8002	6.8141	6.7906	6.7477
AIPGENE441	4.966	5.2759	5.2521	5.8623	5.7484	5.74
AIPGENE445	6.8456	7.037	6.9626	6.931	6.6617	6.8733
AIPGENE446	5.6088	5.5819	5.7621	5.9146	5.9168	5.8339
AIPGENE463	4.9799	4.827	4.9559	7.2987	7.3502	7.2565
AIPGENE465	4.3365	4.4419	4.5275	4.6505	4.69	4.4403
AIPGENE473	8.2614	8.3935	8.3655	7.3505	7.1034	7.308
AIPGENE479	6.6871	6.8107	6.9252	9.6222	9.7073	9.6465
AIPGENE501	6.7695	6.5539	6.8038	5.9226	5.9797	5.8604
AIPGENE510	8.607	8.5746	8.6312	5.3126	4.9412	5.5421
AIPGENE525	4.5701	4.3672	4.3577	7.2497	7.4187	7.267
AIPGENE548	6.0451	6.2016	6.3411	8.8156	8.7437	8.8686
AIPGENE595	4.6936	4.648	4.4926	8.6751	8.6383	8.5271
AIPGENE596	5.3248	5.221	5.6078	9.192	9.2874	9.0937
AIPGENE600	12.9367	13.0288	13.0461	9.5219	9.7991	9.7549
AIPGENE601	6.3406	6.3058	6.5062	4.6408	4.7646	4.6397
AIPGENE603	5.573	5.5797	5.6835	7.7883	7.7117	7.7792
AIPGENE607	4.0908	4.0018	3.9473	7.6149	7.5606	7.7796
AIPGENE623	5.8177	5.6445	5.8205	9.3851	9.4883	9.3896
AIPGENE629	0.089	0.0	0.0	5.3466	5.1697	5.3816
AIPGENE637	4.9731	4.9882	5.1603	9.3114	9.3672	9.2988
AIPGENE638	7.6558	7.8572	7.8149	7.5604	7.7179	7.723
AIPGENE639	4.6405	4.5335	4.6139	5.4508	5.1137	4.888
AIPGENE648	4.5479	4.4928	4.6274	3.8962	4.2182	3.8335
AIPGENE651	7.054	7.0988	7.3141	9.5212	9.6887	9.6464
AIPGENE655	5.4963	5.3108	5.5866	7.1674	7.1192	7.1618
AIPGENE660	4.5365	4.7335	4.7627	6.7559	6.9113	6.7401
AIPGENE683	4.7943	5.0196	4.9812	7.5878	7.3558	7.4503
AIPGENE700	7.7672	7.9457	7.8202	10.2572	10.2746	10.2577
AIPGENE701	5.6011	5.4231	5.5896	7.6274	7.5139	7.5032
AIPGENE707	4.2992	4.2363	4.2861	4.1349	4.6285	3.7513
AIPGENE721	5.8189	5.9139	5.8292	7.2593	7.3504	7.3264
AIPGENE762	6.0627	5.7402	5.6513	7.2736	7.553	7.5434
AIPGENE774	3.9032	3.8429	3.8349	4.7891	5.1739	4.8353
AIPGENE786	4.5624	4.5404	4.0971	6.2276	5.7804	6.254
AIPGENE789	3.9012	4.1963	3.7911	5.5847	4.9996	5.4252
AIPGENE791	0.0812	0.1388	0.1839	5.8762	5.8342	5.5618
AIPGENE804	8.7748	8.8687	8.9536	10.8222	10.7297	10.8364
AIPGENE820	13.5891	13.5038	13.4158	8.9129	9.3012	9.1539
AIPGENE840	5.3944	5.3214	5.4125	5.6672	5.868	5.5893
AIPGENE843	9.4137	9.5635	9.6374	10.7066	11.024	10.7368
AIPGENE852	3.6963	3.5898	3.7966	10.2199	10.3172	10.0272
AIPGENE865	12.5686	12.3825	12.4873	11.2849	11.321	11.2775
AIPGENE868	3.9098	3.861	3.613	4.7885	4.86	4.6609
AIPGENE869	6.9482	6.8885	6.8944	7.3894	7.2959	7.2619
AIPGENE900	5.6785	5.7899	5.5789	5.2946	4.7829	4.9495
AIPGENE937	4.2503	4.2022	4.0888	2.3962	2.492	2.6004
AIPGENE968	3.7463	3.9794	4.0082	3.2759	4.3506	3.5058
AIPGENE987	6.3337	6.244	6.2691	5.1431	4.5171	4.7637
AIPGENE989	8.9789	8.96	8.9485	7.7179	7.7443	7.5743
AIPGENE1009	7.2333	7.1868	7.3729	5.4846	5.2344	5.3267
AIPGENE1033	6.2663	6.3383	6.3833	7.2742	7.2541	7.0953
AIPGENE1040	6.6876	6.6196	6.774	7.9998	8.1704	8.0307
AIPGENE1052	4.4238	4.5515	4.3451	5.7371	5.3856	5.65
AIPGENE1080	11.0598	10.9735	10.9269	8.2276	8.2029	8.1261
AIPGENE1092	7.1047	7.9387	7.269	9.1945	9.5761	9.2099
AIPGENE1117	3.8254	3.686	3.9196	5.4052	5.3847	5.0239
AIPGENE1136	5.1785	5.1171	5.3072	4.2952	3.7254	4.131
AIPGENE1143	5.0594	5.0148	5.123	5.9958	5.7949	5.7249
AIPGENE1148	9.9048	9.8529	9.6444	7.3308	7.3958	7.2896
AIPGENE1149	4.7429	4.5617	4.5286	5.7644	5.7201	5.7455
AIPGENE1175	6.7175	6.8888	6.9477	9.1889	9.3798	9.1884
AIPGENE1176	5.6849	5.6278	5.8505	7.2439	7.5909	7.4481
AIPGENE1189	6.0426	6.1693	6.1251	7.1363	7.1693	7.0737
AIPGENE1197	5.5682	5.435	5.6494	7.4829	7.3237	7.3065
AIPGENE1198	5.5773	5.5522	5.6008	9.8591	9.9723	9.9098
AIPGENE1201	5.9794	6.0225	6.0699	7.0856	7.0232	6.9534
AIPGENE1216	4.7432	4.756	4.9031	4.1863	4.367	4.3079
AIPGENE1218	5.8038	5.7617	5.7979	4.5218	4.4975	4.6597
AIPGENE1225	5.2239	5.1521	5.1372	6.9413	6.9607	6.8364
AIPGENE1251	5.265	5.2004	5.2754	5.7692	5.6217	5.5014
AIPGENE1262	5.4055	5.7469	5.7965	6.0728	6.2039	6.0611
AIPGENE1263	6.1156	6.1784	6.062	8.1228	7.9789	8.0521
AIPGENE1264	6.8744	6.9496	6.9728	7.5196	7.2959	7.3765
AIPGENE1269	2.5379	2.6316	2.7877	6.0524	6.2529	5.8354
AIPGENE1271	6.5662	6.4533	6.4194	7.4669	7.4932	7.3495
AIPGENE1285	5.0309	5.2976	5.0894	8.3918	8.5166	8.5186
AIPGENE1287	7.328	7.2979	7.3868	12.0798	12.1239	12.0355
AIPGENE1288	5.3511	5.3287	5.4214	6.7106	6.5643	6.6014
AIPGENE1296	8.026	8.0132	7.9936	10.0655	10.0178	10.0291
AIPGENE1306	4.6132	4.6391	4.8302	5.8859	5.8515	5.9986
AIPGENE1317	4.9211	4.9391	4.9554	7.3222	7.3935	7.3578
AIPGENE1320	5.0531	5.3343	5.2844	5.5436	5.6313	5.6674
AIPGENE1321	6.2696	6.1811	6.3435	9.8883	9.8201	9.8271
AIPGENE1338	5.5212	5.6617	5.4425	9.0753	8.9321	9.1085
AIPGENE1342	4.6041	4.804	4.6464	8.6768	8.8434	8.7894
AIPGENE1345	5.2168	5.5105	5.4763	5.8194	5.728	5.8408
AIPGENE1346	6.5108	6.5532	6.5537	5.7373	5.6286	5.5819
AIPGENE1347	4.7001	4.4276	4.5424	3.3377	3.7315	3.3977
AIPGENE1349	9.7998	9.7584	10.1459	6.1438	5.7405	6.3128
AIPGENE1353	5.8201	5.9784	5.9614	2.719	2.4337	3.0508
AIPGENE1354	2.6724	2.703	2.8308	5.0131	4.9167	4.841
AIPGENE1366	7.0098	7.2078	7.1559	9.8154	9.8276	9.8791
AIPGENE1371	5.2955	5.2961	5.1243	6.4406	6.8497	6.5998
AIPGENE1378	7.6667	7.7166	7.542	7.9073	7.8653	7.8793
AIPGENE1410	4.7892	4.7712	4.7387	6.4882	6.5626	6.4663
AIPGENE1418	2.2603	2.2623	2.3449	6.6624	6.3703	6.7731
AIPGENE1440	2.6467	3.0235	2.9979	4.7341	4.428	4.7386
AIPGENE1441	5.4981	5.7747	5.8628	8.919	8.9071	8.9751
AIPGENE1445	5.488	5.482	5.4983	7.8611	7.9604	7.8004
AIPGENE1447	5.6528	5.6386	5.6019	6.1334	5.9096	5.8902
AIPGENE1448	5.5778	5.8028	6.0449	6.9014	6.9159	6.9625
AIPGENE1450	7.7097	8.184	7.9502	6.1925	6.5311	6.4461
AIPGENE1451	6.0723	6.2036	6.1983	6.2741	6.136	6.1339
AIPGENE1456	3.8727	3.8924	3.8956	6.5723	6.1492	5.9386
AIPGENE1458	5.8629	5.8107	5.9338	9.5482	9.5369	9.5556
AIPGENE1461	8.5055	8.6678	8.5029	7.0223	6.9308	7.0233
AIPGENE1470	4.4705	4.5753	4.584	6.6112	6.7499	6.4518
AIPGENE1478	4.2651	4.3837	4.4504	7.4167	7.5053	7.4176
AIPGENE1480	6.4302	6.2621	6.4898	8.781	8.5507	8.7673
AIPGENE1485	5.4083	5.3778	5.615	7.3105	7.1005	7.2541
AIPGENE1510	10.6661	10.698	10.6565	10.6669	10.7581	10.6179
AIPGENE1512	4.1697	4.2914	4.2561	3.731	4.4182	3.977
AIPGENE1514	6.5043	6.7028	6.859	5.3684	5.268	5.3592
AIPGENE1522	5.7058	5.5366	5.5929	4.2944	4.2805	4.2145
AIPGENE1525	5.9433	5.8799	6.2463	9.4997	9.951	9.6769
AIPGENE1527	4.1645	3.9087	4.2841	5.5495	5.6519	5.6217
AIPGENE1535	8.3774	8.0961	8.4907	8.1752	8.4289	8.2221
AIPGENE1548	5.9902	5.8247	6.047	8.5137	8.7638	8.5429
AIPGENE1549	6.8969	6.8731	6.7991	7.264	7.0828	7.3945
AIPGENE1571	6.4657	6.3588	6.4342	9.1735	9.1729	9.0921
AIPGENE1575	5.1536	5.3173	5.1903	3.8468	3.7207	3.8795
AIPGENE1591	4.5991	4.8728	5.1635	4.5303	4.7696	4.4764
AIPGENE1599	4.319	4.4129	4.2943	7.443	7.4689	7.3486
AIPGENE1609	7.0451	6.9407	7.0905	4.0029	3.8861	3.992
AIPGENE1616	7.2503	7.3218	7.1384	8.2477	8.67	8.3529
AIPGENE1623	4.7004	5.1066	4.9504	5.2052	5.579	5.2831
AIPGENE1629	8.5023	8.5278	8.4682	8.6432	8.7956	8.7431
AIPGENE1633	5.2741	5.2044	5.3032	5.5482	5.7282	5.5172
AIPGENE1695	4.6856	4.8325	4.8984	4.6348	4.8422	4.3079
AIPGENE1699	5.629	5.6659	5.7601	3.6891	4.0567	3.7699
AIPGENE1700	5.5716	5.3296	5.4749	7.2434	7.2204	7.2197
AIPGENE1719	5.2399	5.2728	5.2853	5.3524	5.2245	5.3862
AIPGENE1741	6.2421	6.3206	6.279	10.0725	10.0221	10.1256
AIPGENE1751	3.699	3.5722	3.553	6.0397	5.8984	5.8823
AIPGENE1781	6.4848	6.8591	6.8838	5.9902	5.9067	5.9655
AIPGENE1784	2.6019	2.7556	2.9585	4.2134	4.5552	3.9739
AIPGENE1788	4.33	4.3978	4.3164	5.5198	5.3592	5.371
AIPGENE1790	9.167	9.0433	9.1011	7.6084	7.4573	7.5258
AIPGENE1792	4.4568	4.6165	4.5328	4.9382	4.8863	4.9958
AIPGENE1793	12.3817	12.3228	12.3008	9.4149	9.5107	9.504
AIPGENE1795	5.4517	5.6727	5.63	8.7512	8.6535	8.7124
AIPGENE1806	2.6925	3.2688	3.4935	5.3573	5.4694	5.2798
AIPGENE1810	3.6083	3.7578	3.8315	6.0778	5.8331	6.2148
AIPGENE1831	5.8453	6.0631	6.052	9.3269	9.3264	9.2977
AIPGENE1836	6.6518	6.6804	6.4673	7.3043	7.1389	7.1413
AIPGENE1838	4.0472	3.9657	3.9865	7.2898	7.38	7.3342
AIPGENE1841	3.9262	3.8318	3.8025	7.1591	7.048	7.2329
AIPGENE1852	4.5457	4.5391	4.587	5.1263	5.337	5.1579
AIPGENE1870	4.5388	4.6487	4.5461	5.1144	5.2705	4.9533
AIPGENE1872	2.5709	2.375	2.4574	3.8009	4.4066	4.1648
AIPGENE1875	6.2814	6.0289	6.4407	8.1611	8.2511	8.1338
AIPGENE1900	10.7004	10.6792	10.7268	8.8287	8.8278	8.7579
AIPGENE1913	10.153	10.3064	10.2274	10.5651	10.4602	10.6581
AIPGENE1915	4.6667	4.4224	4.5521	7.1552	7.0819	7.1483
AIPGENE1917	5.4634	5.71	5.6215	8.114	8.1612	8.1918
AIPGENE1919	5.1893	5.3802	5.4549	3.9281	4.0724	3.6959
AIPGENE1941	4.0538	3.3623	3.7202	5.8142	5.8476	5.9247
AIPGENE1952	2.4272	2.2902	2.3399	3.6542	3.834	3.584
AIPGENE1962	7.1752	7.1509	7.2898	8.144	8.0569	8.0247
AIPGENE1973	4.6907	4.6256	4.822	2.201	3.9957	3.335
AIPGENE1976	5.3376	5.523	5.3451	8.8333	8.8122	8.8639
AIPGENE1977	11.1944	11.1021	11.0695	10.1141	10.2761	10.1349
AIPGENE1997	8.5866	8.7797	8.9563	8.0328	7.8366	8.0559
AIPGENE2028	5.4824	5.5668	4.9805	5.6981	5.9856	5.7326
AIPGENE2030	5.3161	5.0835	5.1998	7.6963	8.3227	7.9761
AIPGENE2033	4.1315	4.6159	4.4834	6.9505	6.9094	6.6744
AIPGENE2083	5.5313	5.9634	5.6033	5.4529	5.66	5.3569
AIPGENE2084	3.7159	3.8302	3.6532	5.415	5.2047	5.3256
AIPGENE2102	3.0801	3.0877	2.6957	5.7388	5.2178	5.4824
AIPGENE2105	8.0474	8.1617	7.9446	9.509	9.3046	9.2038
AIPGENE2110	4.295	4.485	4.4842	4.3448	4.8874	4.4168
AIPGENE2121	1.9972	2.0524	2.1197	4.568	4.7841	4.8422
AIPGENE2122	5.7014	5.6664	5.5622	8.7215	8.8181	8.8394
AIPGENE2129	4.8157	4.757	4.9196	9.3463	9.32	9.2896
AIPGENE2134	6.3392	6.3179	6.3529	5.6948	5.6207	5.7017
AIPGENE2144	4.5224	4.4679	4.571	9.1991	9.0649	9.1414
AIPGENE2155	4.5516	4.5772	4.5007	6.2637	6.0997	5.9618
AIPGENE2161	5.2374	5.4971	5.3685	7.2768	7.1684	7.2335
AIPGENE2169	6.4725	6.5534	6.5298	9.4107	9.434	9.3809
AIPGENE2170	5.7848	5.7348	5.8706	8.113	8.1079	8.2242
AIPGENE2200	7.9613	7.8453	7.9276	7.0405	6.9609	7.0952
AIPGENE2202	2.1771	2.4122	2.5827	5.3857	5.1912	4.9062
AIPGENE2255	5.1804	5.2004	5.2561	6.3743	6.9461	6.3415
AIPGENE2260	5.9914	5.9733	5.9977	5.6627	5.5155	5.7138
AIPGENE2262	4.8156	4.9621	5.1106	4.108	4.1263	4.6151
AIPGENE2265	6.1978	6.288	6.3998	6.3052	6.138	6.2966
AIPGENE2284	5.5577	5.4087	5.7865	3.4665	3.738	3.0248
AIPGENE2287	4.9299	4.7729	4.9829	6.8451	6.5845	6.7253
AIPGENE2292	9.8736	9.9742	9.96	5.955	5.8198	5.9731
AIPGENE2294	2.3212	2.5043	2.2487	5.0277	5.011	5.2365
AIPGENE2295	5.9736	5.8926	5.7938	7.5273	7.4792	7.4462
AIPGENE2296	9.538	9.5189	9.4633	8.3222	8.4893	8.4064
AIPGENE2297	5.254	5.3575	5.2257	4.4875	4.0149	4.1135
AIPGENE2302	5.1293	5.2093	5.3527	8.9781	9.0242	8.9576
AIPGENE2320	3.1533	3.293	3.227	5.011	5.0464	5.1447
AIPGENE2323	7.0032	7.2231	6.9683	8.0591	8.0076	8.0032
AIPGENE2330	3.7607	3.6073	3.7998	6.0402	6.1845	5.9741
AIPGENE2354	6.4557	6.3269	6.5391	8.1174	8.0077	8.1388
AIPGENE2357	5.0888	5.4666	5.2559	7.7411	7.7547	7.7472
AIPGENE2360	6.4049	6.1374	6.2741	9.3702	9.5085	9.4301
AIPGENE2369	4.839	4.8532	4.7833	5.9391	5.9556	6.0667
AIPGENE2389	6.2576	6.2554	6.1823	7.4241	7.3835	7.3032
AIPGENE2406	0.1346	0.1181	0.0	6.5563	5.9318	6.3451
AIPGENE2427	7.26	7.2061	7.2845	9.6293	9.2843	9.6911
AIPGENE2441	4.708	4.685	4.6349	2.4562	3.1766	3.1371
AIPGENE2442	6.1163	5.9668	6.1409	6.3786	6.2108	6.1017
AIPGENE2448	8.556	8.6171	8.6269	9.9265	9.7772	9.7462
AIPGENE2454	6.5193	6.7426	6.7656	6.4361	6.5414	6.4096
AIPGENE2460	4.051	4.0495	4.2205	6.7556	6.6701	6.6576
AIPGENE2467	4.1484	4.1441	4.2279	4.75	4.9794	4.8122
AIPGENE2472	7.0759	7.2134	7.1616	7.1583	6.9933	7.0031
AIPGENE2473	3.837	3.8144	3.8714	2.3518	2.5802	2.8398
AIPGENE2489	8.1093	7.9532	8.3043	5.4905	5.3927	5.3334
AIPGENE2497	5.8814	5.7355	5.9011	7.8332	7.9078	7.8579
AIPGENE2498	3.2623	3.3172	3.0864	6.2091	6.604	6.0862
AIPGENE2499	4.1707	4.2587	4.4323	4.6452	4.8801	4.4982
AIPGENE2505	5.1237	4.9835	5.1803	5.5487	5.4621	5.3649
AIPGENE2509	5.1199	5.2113	5.0208	5.3116	5.5159	5.2958
AIPGENE2560	12.1145	12.1809	12.2296	7.6544	7.7413	7.5642
AIPGENE2562	4.6472	4.9868	4.1772	6.3408	6.0286	5.8915
AIPGENE2592	4.2783	3.8655	4.5339	5.1651	5.3531	5.2541
AIPGENE2607	9.1938	9.1775	9.1583	8.8778	9.0297	8.9715
AIPGENE2609	5.7785	5.8206	5.841	7.7612	7.6238	7.4306
AIPGENE2624	4.8287	4.8174	4.7297	4.9696	5.1546	4.9896
AIPGENE2631	7.3871	7.4475	7.5244	7.1238	7.2277	7.1238
AIPGENE2648	3.8567	3.419	3.3914	4.8165	4.993	4.905
AIPGENE2650	3.566	3.6333	3.7695	6.9053	6.6242	6.8272
AIPGENE2666	7.1115	7.1647	7.0875	9.1403	9.0167	9.2137
AIPGENE2667	5.5646	5.6144	5.6551	5.7128	5.6362	5.6987
AIPGENE2676	5.1199	5.0635	5.0461	6.0965	6.3798	6.0339
AIPGENE2695	3.9196	4.2419	4.3277	7.6657	7.421	7.5149
AIPGENE2697	4.4802	1.3945	3.7144	6.0318	5.4264	5.3635
AIPGENE2703	4.8681	5.1303	4.8051	5.5116	5.6276	5.4075
AIPGENE2704	7.2423	7.2622	7.3476	10.3908	10.167	10.3512
AIPGENE2713	4.2711	4.398	4.3271	4.7249	4.6641	4.6321
AIPGENE2738	4.178	4.0371	4.1903	5.693	6.0084	5.6067
AIPGENE2759	5.422	5.4221	5.4179	8.2056	8.5986	8.4188
AIPGENE2761	5.3936	5.4224	5.5194	6.284	6.5026	6.2962
AIPGENE2763	5.1204	5.0655	5.0221	8.4303	8.2484	8.4415
AIPGENE2779	6.5476	6.5153	5.9107	7.7907	7.8048	7.8368
AIPGENE2784	4.4346	4.5011	4.4756	4.4119	5.1763	4.7878
AIPGENE2788	5.7529	5.5028	5.751	7.8457	7.5984	7.6019
AIPGENE2808	3.8426	3.9903	3.8402	5.8983	5.4236	5.3989
AIPGENE2846	8.0006	8.1077	8.1111	9.3243	8.7437	9.3677
AIPGENE2847	4.1726	4.0045	4.2042	5.8443	5.3632	5.2997
AIPGENE2849	6.6047	6.983	6.8014	7.1012	7.181	7.1316
AIPGENE2858	5.708	5.4755	5.4518	7.5484	7.6784	7.614
AIPGENE2866	4.5523	4.6216	4.4434	6.0095	6.086	5.7863
AIPGENE2872	5.1802	5.1328	5.3596	7.9248	7.7774	7.8539
AIPGENE2883	5.4282	5.3104	5.416	4.0741	4.0725	3.9528
AIPGENE2886	6.6316	6.7318	6.6772	10.0855	10.0412	10.0702
AIPGENE2899	9.8236	9.9369	9.95	8.5329	8.8756	8.5695
AIPGENE2900	5.484	5.6005	5.4439	8.6375	8.3862	8.4695
AIPGENE2901	11.5633	11.6351	11.5617	10.1681	10.4574	10.2672
AIPGENE2902	5.6285	5.4925	5.7765	5.6557	4.9238	5.4445
AIPGENE2910	3.6968	4.1486	4.1849	6.3936	6.5147	6.3777
AIPGENE2915	5.0497	4.7829	4.8133	5.0683	5.3558	5.2396
AIPGENE2919	5.6801	5.4741	5.6514	7.4864	7.4657	7.3423
AIPGENE2922	4.2756	4.2247	4.55	6.6461	6.5138	6.5471
AIPGENE2925	5.2751	5.4234	5.5743	5.5731	5.4308	5.8241
AIPGENE2942	5.4499	5.5213	5.3394	8.9032	8.7659	8.7783
AIPGENE2944	5.5129	5.9605	5.2782	7.058	7.209	7.0564
AIPGENE2946	4.5148	4.4107	4.5581	6.6354	6.6549	6.4769
AIPGENE2951	5.5757	5.8256	5.7083	6.8096	6.655	6.6496
AIPGENE2953	6.8526	6.9848	6.9873	10.2177	10.2747	10.2803
AIPGENE2955	7.8062	8.0175	8.1023	8.161	8.1373	8.2033
AIPGENE2960	6.115	6.2232	6.4175	6.2054	6.399	6.1779
AIPGENE2966	4.9678	4.8525	5.1352	4.5018	4.1351	4.2739
AIPGENE3003	3.7721	3.2569	3.6474	8.9503	8.9008	8.8494
AIPGENE3013	4.3207	4.0944	3.9945	5.7259	5.6994	5.5524
AIPGENE3015	1.473	1.1914	1.0615	5.8912	5.8604	5.9439
AIPGENE3034	10.6662	10.6292	10.496	9.2483	9.2108	9.3058
AIPGENE3049	3.8996	3.7558	3.6785	3.9604	4.3399	4.0075
AIPGENE3050	4.8936	5.0887	5.3234	6.2318	5.7423	6.2328
AIPGENE3053	1.9036	1.7452	1.6607	6.6347	7.3101	6.9628
AIPGENE3056	8.7307	8.772	8.8408	12.9446	12.6864	12.9709
AIPGENE3057	6.7969	6.8008	6.7894	11.6998	11.7822	11.6981
AIPGENE3062	6.0648	6.0556	6.0422	6.5396	6.4417	6.4875
AIPGENE3067	5.5791	5.8186	5.782	8.4272	8.1439	8.3059
AIPGENE3074	7.1133	7.043	6.9856	8.1423	8.43	8.233
AIPGENE3082	6.0664	5.93	6.1243	8.4522	8.4479	8.4657
AIPGENE3089	6.1614	6.5361	6.7655	9.7143	9.7523	9.803
AIPGENE3110	4.0748	3.8467	3.8892	7.3318	6.8885	7.2876
AIPGENE3128	4.6352	4.3797	5.0455	5.0791	5.3389	5.0847
AIPGENE3129	4.6082	4.4695	4.5562	6.9368	6.1244	6.7323
AIPGENE3139	5.4922	5.5585	5.4049	4.7762	4.778	4.5913
