gene_id	CC7_tx	CC7_prot	H2_tx	H2_prot	RS_tx	RS_prot	SSB01_tx	SSB01_prot
AIPGENE2	-0.7718		0.22499		0.16899		-0.35746	
AIPGENE3	0.08292		0.13208		-0.15008		-0.21502	
AIPGENE4			-0.91522		0.36398			
AIPGENE5	0.17853		0.21483		0.58024		0.08022	
AIPGENE6	0.12338		0.14018		0.24259		0.32234	
AIPGENE7	0.22586	0.30469	-0.18786	-0.02724	-0.40838		0.17983	-0.05798
AIPGENE8	-0.24507	0.02971	-0.05908	0.07864	-0.16213	-0.15031	-0.17886	-0.03333
AIPGENE9	0.38688		-0.10044		-0.26958		-0.28455	
AIPGENE10	-0.00247	0.29731	0.17358	-0.12361	0.16201	-0.11072	0.26504	-0.06796
AIPGENE11	0.23953		0.36125		-0.02512		-0.08334	
AIPGENE12	0.18567		0.37473		0.18129		-0.17425	
AIPGENE13	-0.18106		-0.1141		0.05732		-0.01152	
AIPGENE14	-0.24708		-0.29622		-0.0255		-0.10011	
AIPGENE15	-0.09695		-0.02012		-0.33308		-0.31684	
AIPGENE16	0.11251		0.15173		0.24968		0.24229	
AIPGENE17			-0.81371				0.16385	
AIPGENE18	-0.13488		0.07121		-0.09581		-0.07482	
AIPGENE19	-0.31469		0.38331		-0.3969		-0.54891	
AIPGENE20	-0.01679	-0.10411	-0.10019	0.16041	-0.23236	0.35406	-0.2392	-0.07794
AIPGENE21	0.25863		0.13572		0.41367		0.46159	
AIPGENE22	0.09665		-0.06003		-0.10859		-0.20443	
AIPGENE23	0.47557		-0.14989		-0.0978		-0.25346	
AIPGENE24	-0.02218		-0.39157		-1.06337		0.13531	
AIPGENE25	0.27094		-0.23259		0.25336		0.23205	
AIPGENE26	-1.2416		-0.33787				-1.27921	
AIPGENE27	0.13723		-0.085		0.18326		0.01076	
AIPGENE29	0.20768		0.3859		0.33728		0.3641	
AIPGENE30	0.45812		1.21942		0.43673		0.56465	
AIPGENE31	0.28821		0.26817		0.82223		0.14743	
AIPGENE32	-0.75269		-0.18629		-0.06112		0.11677	
AIPGENE33	0.27133						0.01454	
AIPGENE34	0.1647		-0.09346				0.40523	
AIPGENE35	1.34027							
AIPGENE36	-0.71036		-0.24989		-0.50094		-0.30834	
AIPGENE38	0.66617		-0.15678		0.33943		0.05085	
AIPGENE39	0.34272		0.1966				0.42758	
AIPGENE40			0.19171		-0.20972			
AIPGENE41			0.32517		0.62435		-0.1902	
AIPGENE42			0.02286		-0.37048		-0.54081	
AIPGENE43			0.1944				0.46971	
AIPGENE44	0.55538		0.1322		0.02397		-0.00882	
AIPGENE47	0.62811		-0.22638		0.95377		0.21676	
AIPGENE48	0.38266		0.19732		0.14045		0.15101	
AIPGENE49	-0.57104						-0.63694	
