gene_ids	CC7	SSB01	H2	RS
AIPGENE10	0.297310194	-0.067958972	-0.123614566	-0.110721517
AIPGENE10000	0.081295758	0.052483595	0.038166134	-0.051861539
AIPGENE10008	-0.012056193	-0.280977885	0.281859291	0.073064011
AIPGENE10009	-0.038664561	0.091597734	0.119352534	0.056647314
AIPGENE10010	0.035513063	-0.197353192	-0.038642802	0.073972537
AIPGENE10018;AIPGENE10019	0.05178131	0.108731179	0.011919691	0.035908833
AIPGENE10020	0.31206533	-0.059815056	0.054031578	0.14141921
AIPGENE10029	0.091826331	-0.074163867	-0.468707278	0.21430512
AIPGENE10033	-0.139306482	0.192293679	0.150154019	0.036354249
AIPGENE10035	0.014144955	0.007842554	-0.034384175	0.039806207
AIPGENE10044	-0.393599336	-0.092356295	0.0840973	
AIPGENE19946;AIPGENE10078	-0.029169225	-0.077509442	-0.009860658	0.014566956
AIPGENE10085;AIPGENE10084	-0.046287293	-0.094460332	-0.306126427	
AIPGENE10086	0.068775072	-0.093122688	-0.222562246	
AIPGENE1009	0.034930399	-0.201660087	0.046695649	0.108101848
AIPGENE10091				
AIPGENE10108	0.096654734	0.184742331		
AIPGENE10117	0.056298566	0.123540938	0.010391537	0.028897779
AIPGENE10125		-0.473693862		0.047162147
AIPGENE10129	0.074945285	0.023312113	0.061186329	0.075429961
AIPGENE10133	0.002401815	0.018659165	0.06450028	
AIPGENE10134	0.036526915	0.146755957	-0.011317497	0.164928015
AIPGENE10137	0.044888418	-0.040675165	-0.06484199	
AIPGENE10139	-0.060709014	0.196163501		
AIPGENE10143	0.146195709	-0.088433237	-0.314064327	0.238176729
AIPGENE10186				
AIPGENE10188	-0.059460183	-0.077350242	-0.01673452	0.017965005
AIPGENE10200	0.219193687		-0.299040433	
AIPGENE10201				
AIPGENE10209	-0.157089267	-0.007213346	-0.302469791	
AIPGENE10250;AIPGENE12346	-0.078257987	-0.010943452	0.09754424	-0.084164036
AIPGENE10262	-0.176914531	0.144678531	-0.047583094	0.08152912
