	Intercept	strain[T.H2]	strain[T.RS]	temperature[T.32]	strain[T.H2]:temperature[T.32]	strain[T.RS]:temperature[T.32]	corr.Intercept	corr.strain[T.H2]	corr.strain[T.RS]	corr.temperature[T.32]	corr.strain[T.H2]:temperature[T.32]	corr.strain[T.RS]:temperature[T.32]
AIPGENE10	0.8967990946214451	0.9144107266686257	0.4965753742518194	0.294965197666607	0.2944318924884871	0.30947013527192413	0.9993608001803617	0.9998678832098282	0.978390581375046	0.9665401436032465	0.9617570085432965	0.9969937957793844
AIPGENE10000	0.819967096496419	0.8201200772522237	0.8199572605560317	0.2698740045549165	0.6789391468929373	0.20128510093369034	0.9993608001803617	0.9998678832098282	0.9935918859967638	0.9665401436032465	0.9617570085432965	0.9969937957793844
AIPGENE10018;AIPGENE10019	0.7275416749673426	0.8604652942154473	0.5312420661308762	0.3130064193087423	0.5828690558363441	0.8268953055185133	0.9993608001803617	0.9998678832098282	0.978390581375046	0.9665401436032465	0.9617570085432965	0.9969937957793844
AIPGENE10029	0.10834147390069913	0.7539065400823104	0.07684946944554882	0.8576858298836993	0.4389212107236753	0.865697871317892	0.9993608001803617	0.9998678832098282	0.978390581375046	0.9917688133946913	0.9617570085432965	0.9969937957793844
AIPGENE10033	0.1865754866547864	0.01245698892813815	0.3720113428316797	0.05629434427396351	0.005039811798456912	0.08877162878735143	0.9993608001803617	0.877113959941188	0.978390581375046	0.9437001460897781	0.5577391723625649	0.9503129002893417
AIPGENE10035	0.6500160630043166	0.8272753974300078	0.5727724291219227	0.8081843289632998	0.5558940895063945	0.7554769582324692	0.9993608001803617	0.9998678832098282	0.978390581375046	0.9828468762484085	0.9617570085432965	0.9969937957793844
AIPGENE1009	0.3602698573360775	0.597516056240699	0.4810896019959884	0.7618712641925292	0.9424661544327101	0.6535402544742601	0.9993608001803617	0.9998678832098282	0.978390581375046	0.9827108210089626	0.9941780043689414	0.9969937957793844
AIPGENE10117	0.4944451985115952	0.5622031938257898	0.30515142707839693	0.4681611293958131	0.6757270855347015	0.8028397345538797	0.9993608001803617	0.9998678832098282	0.978390581375046	0.9665401436032465	0.9617570085432965	0.9969937957793844
AIPGENE10129	0.7770220886763848	0.5993033092544409	0.9828531794524084	0.23320266680094182	0.8770110525142365	0.9956502865143794	0.9993608001803617	0.9998678832098282	0.9953087208554733	0.9665401436032465	0.9868772182882463	0.9996276826275824
AIPGENE10134	0.7351883309317216	0.6848639925348399	0.584583946520222	0.7128822389584759	0.7332321665050155	0.3603539639959269	0.9993608001803617	0.9998678832098282	0.978390581375046	0.9827108210089626	0.9618158873484317	0.9969937957793844
AIPGENE10143	0.7044219878152042	0.63827275200152	0.21816252320741436	0.7485987750660754	0.47556607283717844	0.886621599203982	0.9993608001803617	0.9998678832098282	0.978390581375046	0.9827108210089626	0.9617570085432965	0.9969937957793844
