Protein IDs	Majority protein IDs	CC7 25 2	CC7 25 3	CC7 25 4	CC7 32 1	CC7 32 2	CC7 32 3	CC7 32 4	H2 25 1	H2 25 3	H2 25 4	H2 32 1	H2 32 2	H2 32 3	H2 32 4	RS 25 1	RS 25 2	RS 25 3	RS 25 4	RS 32 1	RS 32 3	RS 32 4
AIPGENE10	AIPGENE10	-0.31127787	0.367094157	0.027687141	0.30126233	-0.337307762	1.291104273	0.045519836	0.054404917	0.299471352	-0.172519822	-0.196327745	-0.118589702	0	0.062267779	-0.141960379	-0.031122972	-0.233868124	-0.253750319	-0.033752566	-0.642489259	-0.151449071
AIPGENE10000	AIPGENE10000	-0.075736908	-0.041597319	0.079306204	0.03200218	-0.107402912	0.28993762	0.059942113	-0.075728665	-0.043146964	0.027114355	-0.027411084	0.03664491	0.007563553	0.013518793	-0.096400358	0.001734403	0.105133347	-0.128250279	-0.120448035	-0.03269566	-0.090778087
AIPGENE10008	AIPGENE10008	0.199116076				0.180189606	0.19393016			-0.523008408					-0.241149117	-0.271006651	0.115026741			0.048667275	0.226538028	-0.289983134
AIPGENE10009	AIPGENE10009	0.063263474		0.084223161		0.000997855	0.100363861	0.003874554		-0.115028892					0.004323642	-0.134306408	-0.231409268	-0.076396477	0.00845779	-0.273831906	0.103937323	0.014595753
AIPGENE10010	AIPGENE10010	0.054689972				-0.01704987	0.19745594			0.031753287					-0.006889515	-0.157894613	0.136068799			-0.022341471	0.267569362	-0.056049001
AIPGENE10018;AIPGENE10019	AIPGENE10018;AIPGENE10019	-0.050906005	0.028662872	-0.018306569	0.004909956	-0.059157318	0.158362404	0.048943931	-0.066638971	0.050764405	0.004258417	-0.028068743	0.037088273	0.033093001	-0.009921967	-0.12936161	0.061610641	0.005201013	-0.120051431	-0.050760594	0.002267611	0.019268442
AIPGENE10020	AIPGENE10020	-0.088152451		-0.160843945		0.126311122	0.318009737	0.118380537		-0.036071213					0.017960365	-0.290269048	0.236812202	-0.050066084	-0.306740793	-0.033532597	0.063360051	0.086732385
AIPGENE10029	AIPGENE10029	-0.294018877	2.175522304	-0.01683663	1.407262025	0	1.224708315	0.22155738	0.958384144	0.419150431	-0.027718056	-0.229881184	-0.220987266	-0.00635834	0.382153037	-0.087964277	0.35411105	-0.539692341	-0.864245218	-0.008476656	-0.076521746	-0.125429327
AIPGENE10033	AIPGENE10033	0.148255428	0.05159796	0.018748664	-0.316290311	0.082022921	-0.084956572	0.053467436	-0.119588313	-0.119374565	-0.127350533	0.038447328	0.013276588	0.022502081	0.037972198	0.001636776	-0.031132753	0.117513365	-0.057159561	-0.028106575	0.044135334	0.116177359
AIPGENE10035	AIPGENE10035	-0.094700168	0.049472919	-0.014726654	0.09499623	-0.06102436	-0.064001701	0.006671113	0.087963622	-0.033246087	-0.073898232	-0.09433412	0.007469958	-0.052216773	-0.024030028	-0.15745175	0.050306545	0.072391066	0.086255337	0.029639234	0.073796827	0.054608458
AIPGENE10044	AIPGENE10044	0.028652892	-0.020330041	0.269177273	-0.336693831	-0.249814726		-0.316789327	0.107992474	-0.022149515	-0.187631103	-0.021332002	0.032530947	0.183096155	0.006376576		-0.454786848	0.037808301	0.298227616			
AIPGENE10085;AIPGENE10084	AIPGENE10085;AIPGENE10084	0.039441148	0.086376229	-0.003756984	-0.101078887	0.100944226		-0.016666824	0.027140475	0.750002783	0.226480254	0.014797016	-0.069366174	0.347991929	-0.179763796		-0.125456122	0.152729415	-0.088631272			
AIPGENE10086	AIPGENE10086	-0.136050708		-0.075182252		0.092068633		-0.16575145		0.116848884					-0.105713362		-0.017576981	0.100038298	0.129472423			
AIPGENE1009	AIPGENE1009	-0.263973097	-0.000713663	0.025532269	-0.143529265	-0.365821968	0.317724483	0.012475692	-0.037264504	0.004874813	-0.011574928	0.028369481	0.046623376	0.018471401	0.034698847	-0.179824666	-0.249349722	-0.122536636	-0.092023298	0.067974562	-0.164718511	-0.06175125
AIPGENE10091	AIPGENE10091																					
AIPGENE10108	AIPGENE10108			-0.142842126				-0.046187392										-0.116374406	0.265437855			
AIPGENE10117	AIPGENE10117	-0.123665138	0	0.003421835	0.017575783	-0.157427333	0.162361845	0.042359563	-0.050951223	0.107498715	-0.032546037	0.066324829	0.024027975	0.014063982	-0.030848698	-0.003904209	0.012254061	-0.220427979	-0.266555581	-0.131885949	-0.130661364	-0.009734632
AIPGENE10125	AIPGENE10125						-0.557513347									0.176632096				0.259542262	0.336102625	0.075737844
